feature_a_id	feature_b_id	feature_a_name	feature_b_name	Correlation
5	4	Drugs_6	Drugs_5	0.05568984293976766
30	0	Metagenomics_21	Drugs_1	0.055608047025213464
32	4	Metagenomics_23	Drugs_5	-0.05545501343267636
13	0	Metagenomics_4	Drugs_1	-0.051207803273723075
36	4	Metagenomics_27	Drugs_5	0.05114609092090408
10	0	Metagenomics_1	Drugs_1	-0.04918536209911267
35	0	Metagenomics_26	Drugs_1	-0.048578541202971115
25	4	Metagenomics_16	Drugs_5	-0.04857854120297092
30	4	Metagenomics_21	Drugs_5	0.048466904216907344
15	0	Metagenomics_6	Drugs_1	0.048253125245463706
8	0	Drugs_9	Drugs_1	-0.04825312524546351
49	2	Metagenomics_40	Drugs_3	0.04815093373445762
48	3	Metagenomics_39	Drugs_4	0.047929970317454905
48	2	Metagenomics_39	Drugs_3	-0.04777299464600659
41	0	Metagenomics_32	Drugs_1	-0.04777299464600648
37	2	Metagenomics_28	Drugs_3	0.04768612880642939
21	0	Metagenomics_12	Drugs_1	0.04729687469137061
20	2	Metagenomics_11	Drugs_3	-0.04703915669534738
12	4	Metagenomics_3	Drugs_5	0.04510781416901615
6	2	Drugs_7	Drugs_3	-0.04440993970618256
28	3	Metagenomics_19	Drugs_4	-0.044347270456068656
23	0	Metagenomics_14	Drugs_1	-0.04420084023736813
42	3	Metagenomics_33	Drugs_4	0.044109058010758255
44	3	Metagenomics_35	Drugs_4	0.04403376136313683
18	0	Metagenomics_9	Drugs_1	0.04400316834218498
18	3	Metagenomics_9	Drugs_4	0.04400035200422404
27	3	Metagenomics_18	Drugs_4	0.04400035200422401
34	0	Metagenomics_25	Drugs_1	0.043641490857625975
14	2	Metagenomics_5	Drugs_3	0.04332393149533713
13	4	Metagenomics_4	Drugs_5	0.043181501820161415
12	1	Metagenomics_3	Drugs_2	-0.04254484457695427
21	4	Metagenomics_12	Drugs_5	0.04091364100972786
40	4	Metagenomics_31	Drugs_5	0.04079643194362566
38	4	Metagenomics_29	Drugs_5	0.04068196449163986
48	1	Metagenomics_39	Drugs_2	-0.040416166466586446
49	1	Metagenomics_40	Drugs_2	-0.04025094858784125
31	4	Metagenomics_22	Drugs_5	-0.04025094858784117
16	3	Metagenomics_7	Drugs_4	0.04017035998844344
22	3	Metagenomics_13	Drugs_4	-0.039903964529028585
26	3	Metagenomics_17	Drugs_4	0.039832080473051285
47	1	Metagenomics_38	Drugs_2	-0.03977081798838392
37	0	Metagenomics_28	Drugs_1	0.039682414673091235
45	4	Metagenomics_36	Drugs_5	-0.039596516064887156
9	0	Drugs_10	Drugs_1	0.03720299829548173
28	4	Metagenomics_19	Drugs_5	-0.03684618600158549
42	1	Metagenomics_33	Drugs_2	0.03649781107319244
43	3	Metagenomics_34	Drugs_4	-0.03623405524203066
23	2	Metagenomics_14	Drugs_3	-0.0361992399047527
11	2	Metagenomics_2	Drugs_3	0.03581516308878722
9	3	Drugs_10	Drugs_4	0.035787122235643364
17	2	Metagenomics_8	Drugs_3	-0.03563681535182523
13	1	Metagenomics_4	Drugs_2	0.034517515411491194
10	1	Metagenomics_1	Drugs_2	0.03380621749167099
29	1	Metagenomics_20	Drugs_2	0.032918458478905344
40	2	Metagenomics_31	Drugs_3	-0.0327814158446815
29	4	Metagenomics_20	Drugs_5	0.03256187743674279
46	0	Metagenomics_37	Drugs_1	0.0324553732565812
31	1	Metagenomics_22	Drugs_2	-0.03241296518607434
3	1	Drugs_4	Drugs_2	-0.03208667461986555
41	3	Metagenomics_32	Drugs_4	0.03192664132999073
31	0	Metagenomics_22	Drugs_1	-0.03176864133076164
15	1	Metagenomics_6	Drugs_2	0.03161264505802326
16	4	Metagenomics_7	Drugs_5	-0.03159075058472398
46	4	Metagenomics_37	Drugs_5	0.031590750584723895
30	2	Metagenomics_21	Drugs_3	0.03159075058472389
7	0	Drugs_8	Drugs_1	0.03150477762817131
40	0	Metagenomics_31	Drugs_1	0.03133871294687155
19	4	Metagenomics_10	Drugs_5	0.03118041803276207
23	4	Metagenomics_14	Drugs_5	0.02819763957213711
33	2	Metagenomics_24	Drugs_3	-0.028098922310401557
27	2	Metagenomics_18	Drugs_3	-0.028002016217754087
27	0	Metagenomics_18	Drugs_1	-0.028002016217754076
36	3	Metagenomics_27	Drugs_4	0.0277559009080753
42	4	Metagenomics_33	Drugs_5	-0.027721980559932864
39	0	Metagenomics_30	Drugs_1	-0.027632139846024386
12	0	Metagenomics_3	Drugs_1	0.027128898913038345
10	2	Metagenomics_1	Drugs_3	-0.02509850504763739
25	0	Metagenomics_16	Drugs_1	0.024553545553628243
22	2	Metagenomics_13	Drugs_3	-0.02434729839361501
48	0	Metagenomics_39	Drugs_1	0.024246595272596254
48	4	Metagenomics_39	Drugs_5	-0.024246595272595973
35	3	Metagenomics_26	Drugs_4	0.0241996300009672
46	3	Metagenomics_37	Drugs_4	-0.0241598538152894
4	0	Drugs_5	Drugs_1	0.024147477236722018
5	3	Drugs_6	Drugs_4	0.023897560786939186
8	1	Drugs_9	Drugs_2	-0.02360944377751111
45	1	Metagenomics_36	Drugs_2	-0.023299760537097553
7	1	Drugs_8	Drugs_2	-0.023147042580057734
25	1	Metagenomics_16	Drugs_2	0.023147042580057595
10	4	Metagenomics_1	Drugs_5	-0.023075209055313274
13	2	Metagenomics_4	Drugs_3	0.021028909808331362
28	2	Metagenomics_19	Drugs_3	0.020812162502201047
6	1	Drugs_7	Drugs_2	0.020654707157518264
43	4	Metagenomics_34	Drugs_5	-0.020601227932352698
39	4	Metagenomics_30	Drugs_5	-0.02039591318878012
11	1	Metagenomics_2	Drugs_2	0.020326667199545536
6	3	Drugs_7	Drugs_4	0.020138474565852448
33	0	Metagenomics_24	Drugs_1	-0.02009809021746279
27	4	Metagenomics_18	Drugs_5	-0.02000144015553861
